,beer_name
77,2010 Christmas Ale | Sly Fox Brewing Company | Dark Ales
78,2011 Belgian Independence Day Saison | Brewery Ommegang | Pale Ales
79,2012 Black Ale | Stevens Point Brewery | Brown Ales
80,20th Anniversary Pilsner | Abita Brewing Co. | Pilseners and Pale Lagers
81,20th Anniversary Wit | Deschutes Brewery | Wheat Beers
82,21 IPA | Gritty McDuff's Brewing Company | India Pale Ales
83,21st Amendment IPA | 21st Amendment Brewery | India Pale Ales
84,21st Anniversary Belgian Strong Ale Aged With Old Vine Zin Grapes | Karl Strauss Brewing Company | Strong Ales
85,21st Anniversary Fresh Hop Pale Ale | Boulevard Brewing Co. | Pale Ales
86,22nd Anniversary Vanilla Imperial Stout | Karl Strauss Brewing Company | Stouts
87,24th Street Pale Ale | Strand Brewing Co. | Pale Ales
88,25th Anniversary Hopped Lager | Okanagan Spring Brewery | Pilseners and Pale Lagers
89,25th Anniversary Vanilla Doubledog | Abita Brewing Co. | Strong Ales
90,2XIPA | Southern Tier Brewing Company | India Pale Ales
91,2nd Anniversary Double IPA | Port Brewing Company / Pizza Port | India Pale Ales
92,2° Below Winter Ale | New Belgium Brewing | Pale Ales
93,3 French Hens | The Bruery | Strong Ales
94,3 Horses Holland Lager Beer | Oranjeboom Bierbrouwerij B. V. | Pilseners and Pale Lagers
95,3 Judges Barleywine | New England Brewing Co. | Strong Ales
96,3 Monts | Brasserie De Saint-Sylvestre | Hybrid Beers
97,3 Monts Grande Réserve Spécial Ale | Brasserie De Saint-Sylvestre | Hybrid Beers
98,3 Ravens Blond | 3 Ravens Brewing | Brown Ales
99,3 Ravens Bronze | 3 Ravens Brewing | Pale Ales
100,30th Anniversary - Fritz And Ken's Ale | Sierra Nevada Brewing Co. | Stouts
101,30th Anniversary - Grand Cru | Sierra Nevada Brewing Co. | Strong Ales
102,30th Anniversary - Jack & Ken's Ale | Sierra Nevada Brewing Co. | Strong Ales
103,"30th Anniversary- Charlie, Fred And Ken's Bock | Sierra Nevada Brewing Co. | Bocks"
104,30th Street Pale Ale | Green Flash Brewing Co. | Pale Ales
105,312 Urban Wheat | Goose Island Beer Co. | Wheat Beers
106,32/50 | COAST Brewing Company | Pale Ales
107,33 Export | VBL Tien Giang Limited (Fosters) | Pilseners and Pale Lagers
108,333 Premium Export Beer | Saigon Beer Company | Pilseners and Pale Lagers
109,3767 - Belgian IPA With Brett | Midnight Sun Brewing Co. | India Pale Ales
110,3rd Anniversary Ale | The Livery | India Pale Ales
111,3rd Anniversary Double IPA | Port Brewing Company / Pizza Port | India Pale Ales
112,4 Calling Birds | The Bruery | Strong Ales
113,4 Pines Kolsch | 4 Pines Brewing Company | Pale Ales
114,4 Seasons IPA | Voodoo Brewing Company | India Pale Ales
115,400 Pound Monkey | Left Hand Brewing Company | India Pale Ales
116,420 India Pale Ale | Stone Coast Brewing Co. | India Pale Ales
117,422 Pale Wheat Ale | Southern Tier Brewing Company | Wheat Beers
118,46'er Pale Ale | Lake Placid Craft Brewing Company | Pale Ales
119,471 ESB | Breckenridge Brewery | Dark Ales
120,471 IPA | Breckenridge Brewery | India Pale Ales
121,483 Pale Ale | Great River Brewery | Pale Ales
122,4th Anniversary Double IPA | Port Brewing Company / Pizza Port | India Pale Ales
123,5 A.M. Saint | BrewDog | Pale Ales
124,5 Barrel Pale Ale | Odell Brewing Company | Pale Ales
125,5 Day IPA | O'Fallon Brewery | India Pale Ales
126,5 Years Later | Captain Lawrence Brewing Co. | Dark Ales
127,5th Anniversary | Port Brewing Company / Pizza Port | India Pale Ales
128,5th Anniversary Ale | Shoreline Brewery And Restaurant | Pale Ales
129,60 Minute IPA | Dogfish Head Brewery | India Pale Ales
130,60 Shilling Ale | Nodding Head Brewery and Restaurant | Dark Ales
131,60 Winks | Magic Hat Brewing Company | Pilseners and Pale Lagers
132,606 Ale | Paddock Wood Brewing Co. | India Pale Ales
133,6288 Stout | Tuckerman Brewing Co. | Stouts
134,668 The Neighbor Of The Beast | New England Brewing Co. | Strong Ales
135,6X | Wadworth and Company Ltd. | Pale Ales
136,71 Pale Ale | Ram Restaurant And Brewery | Pale Ales
137,75 Minute IPA | Dogfish Head Brewery | India Pale Ales
138,77 Lager | BrewDog | Pilseners and Pale Lagers
139,8 Ball Stout | Lost Coast Brewery and Cafe | Stouts
140,8-4-1 Expedition | Redhook Ale Brewery | Strong Ales
141,80/- (Eighty Shilling) | Williams Brothers Brewing Company | Dark Ales
142,84/09 Double Alt (25th Anniversary Beer) | Widmer Brothers Brewing Company | Brown Ales
143,840 India Pale Ale | Stone Coast Brewing Co. | India Pale Ales
144,8th Street Ale | Four Peaks Grill & Tap | Pale Ales
145,90 Minute IPA | Dogfish Head Brewery | India Pale Ales
146,? The Riddler ? | Rock Art Brewery | Dark Ales
147,A Little Sumpin' Extra! Ale | Lagunitas Brewing Company | India Pale Ales
148,A Little Sumpin' Sumpin' Ale | Lagunitas Brewing Company | Wheat Beers
149,A Little Sumpin' Wild | Lagunitas Brewing Company | India Pale Ales
150,A Saison Darkly (Import Series Vol. #2) | Stillwater Artisanal Ales | Pale Ales
151,A-10 Warthog Double IPA | OPA-OPA Steakhouse & Brewery | India Pale Ales
152,A.K. Damm | Damm S. A. | Pilseners and Pale Lagers
153,ACME California Brown Ale | North Coast Brewing Co. | Brown Ales
154,ACME California IPA | North Coast Brewing Co. | India Pale Ales
155,ACME California Pale Ale | North Coast Brewing Co. | Pale Ales
156,ALTerior Motive | COAST Brewing Company | Brown Ales
157,AXL Pale Ale | MillKing It Productions | Pale Ales
158,Aardmonnik - Earthmonk | De Struise Brouwers | Wild/Sour Beers
159,Aass Bock | Aass Brewery | Bocks
160,Aass Genuine Pilsner | Aass Brewery | Pilseners and Pale Lagers
161,Aass Juleøl | Aass Brewery | Dark Lagers
162,Abandon Ship Smoked Lager | Ballast Point Brewing Company | Dark Lagers
163,Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6° | Brasserie Val De Sambre | Pale Ales
164,Abbaye De Floreffe Blonde | Brasserie Lefèbvre SA | Pale Ales
165,Abbaye De Floreffe Double | Brasserie Lefèbvre SA | Dark Ales
166,Abbaye De Floreffe Prima Melior | Brasserie Lefèbvre SA | Strong Ales
167,Abbaye De Floreffe Triple | Brasserie Lefèbvre SA | Strong Ales
168,Abbaye De Saint Bon-Chien | BFM Brasserie Des Franches-Montagnes | Hybrid Beers
169,Abbaye De Saint Bon-Chien Grand Cru (Aged In Trousseau Barrels) | BFM Brasserie Des Franches-Montagnes | Hybrid Beers
170,Abbaye De Saint Bon-Chien Grand Cru (Aged In Vin Jaune Barrels) | BFM Brasserie Des Franches-Montagnes | Hybrid Beers
