beer_name,main_style
Aardmonnik - Earthmonk,Wild/Sour Beers
Aass Bock,Bocks
Aass Genuine Pilsner,Pilseners and Pale Lagers
Aass Juleøl,Dark Lagers
Abandon Ship Smoked Lager,Dark Lagers
Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Pale Ales
Abbaye De Floreffe Blonde,Pale Ales
Abbaye De Floreffe Double,Dark Ales
Abbaye De Floreffe Prima Melior,Strong Ales
Abbaye De Floreffe Triple,Strong Ales
Abbaye De Saint Bon-Chien,Hybrid Beers
Abbaye De Saint Bon-Chien Grand Cru (Aged In Trousseau Barrels),Hybrid Beers
Abbaye De Saint Bon-Chien Grand Cru (Aged In Vin Jaune Barrels),Hybrid Beers
Abbaye Des Rocs Grand Cru Belgian Special Brown,Strong Ales
Abbaye Des Rocs Spéciale Noël,Strong Ales
Abbaye Des Rocs [Brasserie Des Rocs Brune],Strong Ales
Abbey 8,Dark Ales
Abbey Ale,Dark Ales
Abbey Belgian Style Ale,Dark Ales
Abbey Dubbel,Dark Ales
Abbey Extra,Pale Ales
Abbey Normal,Dark Ales
Abbey Six,Pale Ales
Abbey Triple,Strong Ales
Abbot Ale,Pale Ales
Abby Normal,Dark Ales
Abner Imperial IPA,India Pale Ales
Abner Weed Amber Ale,Pale Ales
Abominable Winter Ale,Pale Ales
Abrasive Ale,India Pale Ales
Absolution Ale,Strong Ales
Acai Berry Wheat,Specialty Beers
Ace Of Spades,Stouts
Acer Quercus - The Bruery / Lawson's Finest Liquids Collaboration,Strong Ales
Aces & Ates,Stouts
Achel Trappist Extra,Strong Ales
Ad Astra Ale,Brown Ales
Adam,Strong Ales
Adam From The Wood,Strong Ales
Adelscott,Specialty Beers
Admiral's Ale,India Pale Ales
Adnams Bitter,Pale Ales
Adnams Broadside,Pale Ales
Adnams Broadside Strong Original,Strong Ales
Adnams Explorer,Pale Ales
Adnams SSB (Suffolk Special Bitter),Pale Ales
Adnams Southwold Bitter,Pale Ales
Adriaen Brouwer Dark Gold Ale,Strong Ales
Aecht Schlenkerla Eiche,Bocks
Aecht Schlenkerla Fastenbier,Dark Lagers
Aecht Schlenkerla Helles Lagerbier,Pilseners and Pale Lagers
Aecht Schlenkerla Rauchbier Märzen,Dark Lagers
