,main_style,beer_style,main_style_full_count,sub_style_full_count
0,Brown Ales,American Brown Ale,416,158
1,Pale Ales,American Amber / Red Ale,2120,395
2,Stouts,Russian Imperial Stout,786,192
3,Porters,Black & Tan,448,13
4,Specialty Beers,Scottish Gruit / Ancient Herbed Ale,684,15
5,Specialty Beers,Fruit / Vegetable Beer,684,242
6,Strong Ales,American Barleywine,947,122
7,Pale Ales,English Bitter,2120,104
8,Specialty Beers,Fruit / Vegetable Beer,684,242
9,Strong Ales,Belgian Strong Dark Ale,947,144
10,Strong Ales,Quadrupel (Quad),947,51
11,Pale Ales,Belgian Pale Ale,2120,167
12,Strong Ales,Belgian Strong Dark Ale,947,144
13,Dark Ales,Dubbel,390,88
14,Strong Ales,Belgian Strong Dark Ale,947,144
15,India Pale Ales,Belgian IPA,914,61
16,Strong Ales,Belgian Strong Dark Ale,947,144
17,Brown Ales,American Brown Ale,416,158
18,India Pale Ales,American IPA,914,475
19,Pale Ales,American Pale Ale (APA),2120,543
20,Porters,American Porter,448,305
21,Porters,American Porter,448,305
22,Wheat Beers,Witbier,685,207
23,Pilseners and Pale Lagers,American Double / Imperial Pilsner,1228,41
24,Pale Ales,English Pale Ale,2120,185
25,Strong Ales,Belgian Strong Dark Ale,947,144
26,Bocks,Weizenbock,339,53
27,Strong Ales,American Barleywine,947,122
28,India Pale Ales,American IPA,914,475
29,Pale Ales,American Amber / Red Ale,2120,395
30,Specialty Beers,Fruit / Vegetable Beer,684,242
31,India Pale Ales,American Double / Imperial IPA,914,297
32,Strong Ales,American Barleywine,947,122
33,India Pale Ales,American Double / Imperial IPA,914,297
34,Stouts,Russian Imperial Stout,786,192
35,Stouts,Russian Imperial Stout,786,192
36,India Pale Ales,American Double / Imperial IPA,914,297
37,Pale Ales,American Amber / Red Ale,2120,395
38,Wheat Beers,American Pale Wheat Ale,685,162
39,India Pale Ales,American IPA,914,475
40,Dark Ales,Winter Warmer,390,120
41,Pale Ales,American Blonde Ale,2120,174
42,India Pale Ales,American Double / Imperial IPA,914,297
43,India Pale Ales,American Double / Imperial IPA,914,297
44,Pilseners and Pale Lagers,Czech Pilsener,1228,114
45,Wheat Beers,Hefeweizen,685,206
46,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
47,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
48,India Pale Ales,American IPA,914,475
49,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
50,Dark Ales,Belgian Dark Ale,390,43
51,India Pale Ales,American Double / Imperial IPA,914,297
52,India Pale Ales,American Double / Imperial IPA,914,297
53,Pilseners and Pale Lagers,Czech Pilsener,1228,114
54,India Pale Ales,American Double / Imperial IPA,914,297
55,India Pale Ales,English India Pale Ale (IPA),914,81
56,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
57,Strong Ales,Belgian Strong Pale Ale,947,147
58,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
59,Bocks,Bock,339,84
60,Pale Ales,American Amber / Red Ale,2120,395
61,Pilseners and Pale Lagers,German Pilsener,1228,200
62,Dark Lagers,American Amber / Red Lager,476,62
63,Bocks,Bock,339,84
64,Porters,English Porter,448,60
65,Wheat Beers,American Pale Wheat Ale,685,162
66,Strong Ales,Belgian Strong Pale Ale,947,147
67,Strong Ales,Belgian Strong Dark Ale,947,144
68,Dark Lagers,Vienna Lager,476,50
69,Brown Ales,American Brown Ale,416,158
70,India Pale Ales,American IPA,914,475
71,Strong Ales,American Strong Ale,947,115
72,Dark Ales,Winter Warmer,390,120
73,Wild/Sour Beers,Flanders Red Ale,202,29
74,Dark Ales,Winter Warmer,390,120
75,Wild/Sour Beers,Flanders Red Ale,202,29
76,India Pale Ales,American IPA,914,475
77,Dark Ales,Winter Warmer,390,120
78,Pale Ales,Saison / Farmhouse Ale,2120,249
79,Brown Ales,American Brown Ale,416,158
80,Pilseners and Pale Lagers,Czech Pilsener,1228,114
81,Wheat Beers,Witbier,685,207
82,India Pale Ales,American IPA,914,475
83,India Pale Ales,American IPA,914,475
84,Strong Ales,Belgian Strong Dark Ale,947,144
85,Pale Ales,American Pale Ale (APA),2120,543
86,Stouts,American Double / Imperial Stout,786,207
87,Pale Ales,American Pale Ale (APA),2120,543
88,Pilseners and Pale Lagers,American Pale Lager,1228,108
89,Strong Ales,American Strong Ale,947,115
90,India Pale Ales,American Double / Imperial IPA,914,297
91,India Pale Ales,American Double / Imperial IPA,914,297
92,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
93,Strong Ales,Belgian Strong Dark Ale,947,144
94,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
95,Strong Ales,English Barleywine,947,62
96,Hybrid Beers,Bière de Garde,133,54
97,Hybrid Beers,Bière de Garde,133,54
98,Brown Ales,Altbier,416,79
99,Pale Ales,English Bitter,2120,104
100,Stouts,American Double / Imperial Stout,786,207
101,Strong Ales,American Strong Ale,947,115
102,Strong Ales,American Barleywine,947,122
103,Bocks,Maibock / Helles Bock,339,62
104,Pale Ales,American Pale Ale (APA),2120,543
105,Wheat Beers,American Pale Wheat Ale,685,162
106,Pale Ales,Kölsch,2120,89
107,Pilseners and Pale Lagers,Dortmunder / Export Lager,1228,45
108,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
109,India Pale Ales,Belgian IPA,914,61
110,India Pale Ales,Belgian IPA,914,61
111,India Pale Ales,American Double / Imperial IPA,914,297
112,Strong Ales,Belgian Strong Dark Ale,947,144
113,Pale Ales,Kölsch,2120,89
114,India Pale Ales,American IPA,914,475
115,India Pale Ales,English India Pale Ale (IPA),914,81
116,India Pale Ales,American IPA,914,475
117,Wheat Beers,American Pale Wheat Ale,685,162
118,Pale Ales,English Pale Ale,2120,185
119,Dark Ales,Scottish Ale,390,62
120,India Pale Ales,American Double / Imperial IPA,914,297
121,Pale Ales,American Pale Ale (APA),2120,543
122,India Pale Ales,American Double / Imperial IPA,914,297
123,Pale Ales,American Amber / Red Ale,2120,395
124,Pale Ales,English Pale Ale,2120,185
125,India Pale Ales,American IPA,914,475
126,Dark Ales,American Black Ale,390,70
127,India Pale Ales,American Double / Imperial IPA,914,297
128,Pale Ales,American Pale Ale (APA),2120,543
129,India Pale Ales,American IPA,914,475
130,Dark Ales,Scottish Ale,390,62
131,Pilseners and Pale Lagers,German Pilsener,1228,200
132,India Pale Ales,English India Pale Ale (IPA),914,81
133,Stouts,American Stout,786,120
134,Strong Ales,Belgian Strong Pale Ale,947,147
135,Pale Ales,English Pale Ale,2120,185
136,Pale Ales,American Pale Ale (APA),2120,543
137,India Pale Ales,American IPA,914,475
138,Pilseners and Pale Lagers,German Pilsener,1228,200
139,Stouts,Oatmeal Stout,786,98
140,Strong Ales,American Strong Ale,947,115
141,Dark Ales,Scottish Ale,390,62
142,Brown Ales,Altbier,416,79
143,India Pale Ales,American Double / Imperial IPA,914,297
144,Pale Ales,English Pale Ale,2120,185
145,India Pale Ales,American Double / Imperial IPA,914,297
146,Dark Ales,Dubbel,390,88
147,India Pale Ales,American Double / Imperial IPA,914,297
148,Wheat Beers,American Pale Wheat Ale,685,162
149,India Pale Ales,Belgian IPA,914,61
150,Pale Ales,Saison / Farmhouse Ale,2120,249
151,India Pale Ales,American Double / Imperial IPA,914,297
152,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
153,Brown Ales,American Brown Ale,416,158
154,India Pale Ales,American IPA,914,475
155,Pale Ales,American Pale Ale (APA),2120,543
156,Brown Ales,Altbier,416,79
157,Pale Ales,American Pale Ale (APA),2120,543
158,Wild/Sour Beers,Flanders Oud Bruin,202,24
159,Bocks,Bock,339,84
160,Pilseners and Pale Lagers,German Pilsener,1228,200
161,Dark Lagers,Vienna Lager,476,50
162,Dark Lagers,Rauchbier,476,24
163,Pale Ales,Belgian Pale Ale,2120,167
164,Pale Ales,Belgian Pale Ale,2120,167
165,Dark Ales,Dubbel,390,88
166,Strong Ales,Belgian Strong Dark Ale,947,144
167,Strong Ales,Tripel,947,123
168,Hybrid Beers,Bière de Garde,133,54
169,Hybrid Beers,Bière de Garde,133,54
170,Hybrid Beers,Bière de Garde,133,54
171,Strong Ales,Belgian Strong Dark Ale,947,144
172,Strong Ales,Belgian Strong Dark Ale,947,144
173,Strong Ales,Belgian Strong Dark Ale,947,144
174,Dark Ales,Dubbel,390,88
175,Dark Ales,Belgian Dark Ale,390,43
176,Dark Ales,Dubbel,390,88
177,Dark Ales,Dubbel,390,88
178,Pale Ales,Belgian Pale Ale,2120,167
179,Dark Ales,Dubbel,390,88
180,Pale Ales,Belgian Pale Ale,2120,167
181,Strong Ales,Tripel,947,123
182,Pale Ales,English Pale Ale,2120,185
183,Dark Ales,Belgian Dark Ale,390,43
184,India Pale Ales,American Double / Imperial IPA,914,297
185,Pale Ales,American Amber / Red Ale,2120,395
186,Pale Ales,American Amber / Red Ale,2120,395
187,India Pale Ales,American Double / Imperial IPA,914,297
188,Strong Ales,American Strong Ale,947,115
189,Specialty Beers,Fruit / Vegetable Beer,684,242
190,Stouts,Foreign / Export Stout,786,41
191,Strong Ales,American Strong Ale,947,115
192,Stouts,American Stout,786,120
193,Strong Ales,Belgian Strong Dark Ale,947,144
194,Brown Ales,Altbier,416,79
195,Strong Ales,Old Ale,947,59
196,Strong Ales,Old Ale,947,59
197,Specialty Beers,Smoked Beer,684,34
198,India Pale Ales,English India Pale Ale (IPA),914,81
199,Pale Ales,English Bitter,2120,104
200,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
201,Strong Ales,English Strong Ale,947,31
202,Pale Ales,American Blonde Ale,2120,174
203,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
204,Pale Ales,English Bitter,2120,104
205,Strong Ales,Belgian Strong Dark Ale,947,144
206,Bocks,Doppelbock,339,126
207,Dark Lagers,Rauchbier,476,24
208,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
209,Dark Lagers,Rauchbier,476,24
210,Dark Lagers,Rauchbier,476,24
211,Dark Lagers,Rauchbier,476,24
212,Strong Ales,Belgian Strong Pale Ale,947,147
213,Dark Ales,Dubbel,390,88
214,Strong Ales,Belgian Strong Dark Ale,947,144
215,Strong Ales,Tripel,947,123
216,Pale Ales,American Amber / Red Ale,2120,395
217,India Pale Ales,American Double / Imperial IPA,914,297
218,Porters,American Porter,448,305
219,Specialty Beers,Herbed / Spiced Beer,684,95
220,Pilseners and Pale Lagers,Euro Strong Lager,1228,46
221,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
222,Porters,American Porter,448,305
223,Pilseners and Pale Lagers,Keller Bier / Zwickel Bier,1228,27
224,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
225,Wheat Beers,Witbier,685,207
226,Pale Ales,American Blonde Ale,2120,174
227,Brown Ales,Altbier,416,79
228,Porters,Baltic Porter,448,70
229,Strong Ales,American Barleywine,947,122
230,Dark Ales,American Black Ale,390,70
231,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
232,India Pale Ales,American IPA,914,475
233,India Pale Ales,American Double / Imperial IPA,914,297
234,Pale Ales,American Blonde Ale,2120,174
235,Stouts,Russian Imperial Stout,786,192
236,Specialty Beers,Fruit / Vegetable Beer,684,242
237,Porters,American Porter,448,305
238,Stouts,Oatmeal Stout,786,98
239,Pale Ales,Kölsch,2120,89
240,Wheat Beers,Witbier,685,207
241,Strong Ales,Old Ale,947,59
242,Specialty Beers,Scottish Gruit / Ancient Herbed Ale,684,15
243,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
244,Pale Ales,American Amber / Red Ale,2120,395
245,Dark Ales,Belgian Dark Ale,390,43
246,Pale Ales,American Blonde Ale,2120,174
247,Dark Ales,Winter Warmer,390,120
248,India Pale Ales,American Double / Imperial IPA,914,297
249,Strong Ales,American Strong Ale,947,115
250,Porters,American Porter,448,305
251,Porters,American Porter,448,305
252,Strong Ales,English Barleywine,947,62
253,Bocks,Weizenbock,339,53
254,Strong Ales,Old Ale,947,59
255,Pale Ales,American Amber / Red Ale,2120,395
256,Strong Ales,Belgian Strong Dark Ale,947,144
257,Strong Ales,Belgian Strong Pale Ale,947,147
258,India Pale Ales,American IPA,914,475
259,Pale Ales,Belgian Pale Ale,2120,167
260,Pale Ales,American Amber / Red Ale,2120,395
261,Brown Ales,English Brown Ale,416,146
262,Strong Ales,American Barleywine,947,122
263,Strong Ales,American Barleywine,947,122
264,Stouts,American Double / Imperial Stout,786,207
265,Stouts,American Double / Imperial Stout,786,207
266,Stouts,American Double / Imperial Stout,786,207
267,Strong Ales,Scotch Ale / Wee Heavy,947,74
268,Strong Ales,Scotch Ale / Wee Heavy,947,74
269,Pale Ales,American Pale Ale (APA),2120,543
270,Brown Ales,English Dark Mild Ale,416,33
271,India Pale Ales,English India Pale Ale (IPA),914,81
272,Brown Ales,American Brown Ale,416,158
273,Pilseners and Pale Lagers,American Pale Lager,1228,108
274,Pale Ales,American Pale Ale (APA),2120,543
275,Wheat Beers,Witbier,685,207
276,Pale Ales,American Amber / Red Ale,2120,395
277,Wild/Sour Beers,Flanders Red Ale,202,29
278,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
279,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
280,Dark Lagers,Euro Dark Lager,476,50
281,Porters,Baltic Porter,448,70
282,India Pale Ales,American IPA,914,475
283,Pale Ales,American Pale Ale (APA),2120,543
284,Pale Ales,American Amber / Red Ale,2120,395
285,Wheat Beers,Witbier,685,207
286,Strong Ales,Belgian Strong Dark Ale,947,144
287,Pale Ales,Belgian Pale Ale,2120,167
288,Strong Ales,Belgian Strong Dark Ale,947,144
289,Strong Ales,Belgian Strong Dark Ale,947,144
290,Pale Ales,Belgian Pale Ale,2120,167
291,Specialty Beers,Smoked Beer,684,34
292,Wild/Sour Beers,American Wild Ale,202,104
293,Strong Ales,Tripel,947,123
294,Dark Ales,Dubbel,390,88
295,Strong Ales,Quadrupel (Quad),947,51
296,Pale Ales,Belgian Pale Ale,2120,167
297,Strong Ales,Belgian Strong Pale Ale,947,147
298,Wheat Beers,Witbier,685,207
299,Pale Ales,Saison / Farmhouse Ale,2120,249
300,Stouts,American Double / Imperial Stout,786,207
301,Hybrid Beers,Bière de Garde,133,54
302,Wild/Sour Beers,American Wild Ale,202,104
303,Strong Ales,Quadrupel (Quad),947,51
304,India Pale Ales,Belgian IPA,914,61
305,Wild/Sour Beers,American Wild Ale,202,104
306,Strong Ales,Scotch Ale / Wee Heavy,947,74
307,Strong Ales,Belgian Strong Dark Ale,947,144
308,Pale Ales,Belgian Pale Ale,2120,167
309,Pale Ales,Belgian Pale Ale,2120,167
310,Strong Ales,Tripel,947,123
311,Wild/Sour Beers,American Wild Ale,202,104
312,Strong Ales,Belgian Strong Pale Ale,947,147
313,Wild/Sour Beers,American Wild Ale,202,104
314,Strong Ales,Belgian Strong Pale Ale,947,147
315,Wild/Sour Beers,American Wild Ale,202,104
316,Wheat Beers,Witbier,685,207
317,Pale Ales,American Pale Ale (APA),2120,543
318,Brown Ales,English Brown Ale,416,146
319,Porters,American Porter,448,305
320,Pale Ales,American Amber / Red Ale,2120,395
321,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
322,Pilseners and Pale Lagers,German Pilsener,1228,200
323,Bocks,Doppelbock,339,126
324,Wheat Beers,Hefeweizen,685,206
325,Dark Lagers,Märzen / Oktoberfest,476,149
326,Pilseners and Pale Lagers,German Pilsener,1228,200
327,Pale Ales,Kölsch,2120,89
328,Strong Ales,English Strong Ale,947,31
329,Brown Ales,American Brown Ale,416,158
330,Pilseners and Pale Lagers,German Pilsener,1228,200
331,India Pale Ales,American Double / Imperial IPA,914,297
332,Pale Ales,American Pale Ale (APA),2120,543
333,Porters,American Porter,448,305
334,Strong Ales,Belgian Strong Pale Ale,947,147
335,Pale Ales,American Pale Ale (APA),2120,543
336,Wheat Beers,American Pale Wheat Ale,685,162
337,India Pale Ales,American Double / Imperial IPA,914,297
338,Pale Ales,American Pale Ale (APA),2120,543
339,Pilseners and Pale Lagers,American Pale Lager,1228,108
340,Pilseners and Pale Lagers,Dortmunder / Export Lager,1228,45
341,Wheat Beers,Witbier,685,207
342,Brown Ales,Altbier,416,79
343,Brown Ales,Altbier,416,79
344,Brown Ales,Altbier,416,79
345,Brown Ales,Altbier,416,79
346,Brown Ales,Altbier,416,79
347,Brown Ales,Altbier,416,79
348,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
349,Bocks,Maibock / Helles Bock,339,62
350,Pilseners and Pale Lagers,German Pilsener,1228,200
351,Bocks,Doppelbock,339,126
352,India Pale Ales,Belgian IPA,914,61
353,Wheat Beers,Witbier,685,207
354,India Pale Ales,American Double / Imperial IPA,914,297
355,Pale Ales,American Pale Ale (APA),2120,543
356,India Pale Ales,American IPA,914,475
357,Pale Ales,American Pale Ale (APA),2120,543
358,Wild/Sour Beers,American Wild Ale,202,104
359,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
360,Pale Ales,American Amber / Red Ale,2120,395
361,Pale Ales,American Amber / Red Ale,2120,395
362,Brown Ales,Altbier,416,79
363,Dark Lagers,American Amber / Red Lager,476,62
364,Pale Ales,American Amber / Red Ale,2120,395
365,Pale Ales,English Pale Ale,2120,185
366,Pale Ales,American Amber / Red Ale,2120,395
367,Wheat Beers,American Dark Wheat Ale,685,23
368,Pale Ales,American Amber / Red Ale,2120,395
369,Wheat Beers,American Pale Wheat Ale,685,162
370,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
371,Pale Ales,American Pale Ale (APA),2120,543
372,Pale Ales,American Amber / Red Ale,2120,395
373,Brown Ales,American Brown Ale,416,158
374,Pilseners and Pale Lagers,American Pale Lager,1228,108
375,India Pale Ales,American IPA,914,475
376,Wheat Beers,American Pale Wheat Ale,685,162
377,Pale Ales,American Pale Ale (APA),2120,543
378,Wheat Beers,American Pale Wheat Ale,685,162
379,India Pale Ales,Belgian IPA,914,61
380,Pilseners and Pale Lagers,American Pale Lager,1228,108
381,Pale Ales,American Pale Ale (APA),2120,543
382,India Pale Ales,American IPA,914,475
383,India Pale Ales,American Double / Imperial IPA,914,297
384,Porters,American Porter,448,305
385,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
386,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
387,Pilseners and Pale Lagers,Light Lager,1228,108
388,Dark Lagers,American Amber / Red Lager,476,62
389,Specialty Beers,Fruit / Vegetable Beer,684,242
390,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
391,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
392,Brown Ales,English Brown Ale,416,146
393,Wheat Beers,Witbier,685,207
394,Bocks,Doppelbock,339,126
395,Pale Ales,American Amber / Red Ale,2120,395
396,Wheat Beers,Witbier,685,207
397,Bocks,Bock,339,84
398,Pale Ales,American Pale Ale (APA),2120,543
399,Pale Ales,American Pale Ale (APA),2120,543
400,Strong Ales,English Barleywine,947,62
401,Porters,American Porter,448,305
402,Pale Ales,English Bitter,2120,104
403,Hybrid Beers,California Common / Steam Beer,133,15
404,Wheat Beers,American Pale Wheat Ale,685,162
405,Brown Ales,English Brown Ale,416,146
406,Wheat Beers,Dunkelweizen,685,50
407,Bocks,Maibock / Helles Bock,339,62
408,Bocks,Doppelbock,339,126
409,Dark Lagers,Munich Dunkel Lager,476,81
410,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
411,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
412,Wheat Beers,Hefeweizen,685,206
413,Dark Ales,Dubbel,390,88
414,Strong Ales,Tripel,947,123
415,Pale Ales,Belgian Pale Ale,2120,167
416,Strong Ales,Belgian Strong Dark Ale,947,144
417,Strong Ales,American Barleywine,947,122
418,Pale Ales,American Pale Ale (APA),2120,543
419,Porters,American Porter,448,305
420,Bocks,Maibock / Helles Bock,339,62
421,Pale Ales,English Pale Ale,2120,185
422,Dark Ales,Dubbel,390,88
423,Pale Ales,American Pale Ale (APA),2120,543
424,Dark Lagers,Munich Dunkel Lager,476,81
425,Pale Ales,American Amber / Red Ale,2120,395
426,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
427,Dark Lagers,Schwarzbier,476,60
428,Pale Ales,American Pale Ale (APA),2120,543
429,Pale Ales,Kölsch,2120,89
430,Pale Ales,American Pale Ale (APA),2120,543
431,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
432,Pale Ales,Belgian Pale Ale,2120,167
433,Pale Ales,Saison / Farmhouse Ale,2120,249
434,India Pale Ales,American Double / Imperial IPA,914,297
435,Stouts,Russian Imperial Stout,786,192
436,Strong Ales,American Barleywine,947,122
437,Bocks,Maibock / Helles Bock,339,62
438,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
439,India Pale Ales,American IPA,914,475
440,Pale Ales,American Pale Ale (APA),2120,543
441,Pale Ales,Belgian Pale Ale,2120,167
442,Dark Lagers,American Amber / Red Lager,476,62
443,Brown Ales,English Brown Ale,416,146
444,Pale Ales,English Bitter,2120,104
445,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
446,Pale Ales,American Amber / Red Ale,2120,395
447,Pale Ales,American Amber / Red Ale,2120,395
448,Pale Ales,American Pale Ale (APA),2120,543
449,India Pale Ales,American Double / Imperial IPA,914,297
450,Stouts,American Stout,786,120
451,India Pale Ales,American Double / Imperial IPA,914,297
452,Wheat Beers,American Pale Wheat Ale,685,162
453,Pilseners and Pale Lagers,German Pilsener,1228,200
454,Pale Ales,American Pale Ale (APA),2120,543
455,Pale Ales,American Amber / Red Ale,2120,395
456,Pale Ales,American Pale Ale (APA),2120,543
457,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
458,Specialty Beers,Fruit / Vegetable Beer,684,242
459,India Pale Ales,American IPA,914,475
460,Specialty Beers,Fruit / Vegetable Beer,684,242
461,Pale Ales,Saison / Farmhouse Ale,2120,249
462,Specialty Beers,Fruit / Vegetable Beer,684,242
463,Specialty Beers,Fruit / Vegetable Beer,684,242
464,Specialty Beers,Fruit / Vegetable Beer,684,242
465,Specialty Beers,Herbed / Spiced Beer,684,95
466,Wheat Beers,Hefeweizen,685,206
467,Wheat Beers,Witbier,685,207
468,Stouts,American Stout,786,120
469,Stouts,American Stout,786,120
470,Brown Ales,Altbier,416,79
471,Dark Ales,Dubbel,390,88
472,Strong Ales,Tripel,947,123
473,Pale Ales,American Amber / Red Ale,2120,395
474,India Pale Ales,American IPA,914,475
475,Pale Ales,English Pale Ale,2120,185
476,Pale Ales,American Amber / Red Ale,2120,395
477,Pale Ales,English Pale Ale,2120,185
478,India Pale Ales,American Double / Imperial IPA,914,297
479,Strong Ales,Old Ale,947,59
480,Strong Ales,English Barleywine,947,62
481,Stouts,American Stout,786,120
482,India Pale Ales,American Double / Imperial IPA,914,297
483,India Pale Ales,American Double / Imperial IPA,914,297
484,India Pale Ales,English India Pale Ale (IPA),914,81
485,Stouts,Russian Imperial Stout,786,192
486,Specialty Beers,Herbed / Spiced Beer,684,95
487,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
488,Strong Ales,Scotch Ale / Wee Heavy,947,74
489,Porters,English Porter,448,60
490,Brown Ales,English Brown Ale,416,146
491,Porters,Baltic Porter,448,70
492,Specialty Beers,Rye Beer,684,64
493,Pale Ales,English Pale Mild Ale,2120,8
494,Stouts,Oatmeal Stout,786,98
495,Wheat Beers,American Pale Wheat Ale,685,162
496,Pale Ales,American Amber / Red Ale,2120,395
497,Wheat Beers,American Pale Wheat Ale,685,162
498,Pale Ales,English Pale Ale,2120,185
499,Dark Lagers,Munich Dunkel Lager,476,81
500,Pilseners and Pale Lagers,Keller Bier / Zwickel Bier,1228,27
501,Specialty Beers,Sahti,684,8
502,Strong Ales,English Barleywine,947,62
503,India Pale Ales,American Double / Imperial IPA,914,297
504,Porters,American Porter,448,305
505,Pale Ales,American Pale Ale (APA),2120,543
506,Strong Ales,American Barleywine,947,122
507,Pale Ales,American Pale Ale (APA),2120,543
508,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
509,Specialty Beers,Fruit / Vegetable Beer,684,242
510,Pale Ales,English Bitter,2120,104
511,Wild/Sour Beers,Gueuze,202,33
512,Wild/Sour Beers,Gueuze,202,33
513,Pale Ales,American Pale Ale (APA),2120,543
514,India Pale Ales,American IPA,914,475
515,Pale Ales,English Pale Ale,2120,185
516,Dark Ales,Scottish Ale,390,62
517,Strong Ales,American Strong Ale,947,115
518,Pale Ales,American Pale Ale (APA),2120,543
519,Pilseners and Pale Lagers,Euro Strong Lager,1228,46
520,Pale Ales,Saison / Farmhouse Ale,2120,249
521,Strong Ales,Belgian Strong Dark Ale,947,144
522,Pale Ales,Saison / Farmhouse Ale,2120,249
523,Dark Lagers,American Amber / Red Lager,476,62
524,Stouts,English Stout,786,29
525,Specialty Beers,Japanese Rice Lager,684,9
526,Specialty Beers,Happoshu,684,3
527,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
528,Specialty Beers,Japanese Rice Lager,684,9
529,India Pale Ales,Belgian IPA,914,61
530,Pale Ales,American Amber / Red Ale,2120,395
531,Wild/Sour Beers,American Wild Ale,202,104
532,Pilseners and Pale Lagers,Light Lager,1228,108
533,India Pale Ales,American Double / Imperial IPA,914,297
534,Porters,American Porter,448,305
535,Pilseners and Pale Lagers,German Pilsener,1228,200
536,Strong Ales,Tripel,947,123
537,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
538,Pale Ales,American Amber / Red Ale,2120,395
539,Pale Ales,Belgian Pale Ale,2120,167
540,India Pale Ales,English India Pale Ale (IPA),914,81
541,India Pale Ales,American IPA,914,475
542,Strong Ales,American Barleywine,947,122
543,Strong Ales,Belgian Strong Pale Ale,947,147
544,Dark Lagers,Märzen / Oktoberfest,476,149
545,Stouts,American Stout,786,120
546,Pale Ales,American Amber / Red Ale,2120,395
547,Dark Lagers,Munich Dunkel Lager,476,81
548,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
549,Bocks,Maibock / Helles Bock,339,62
550,Pilseners and Pale Lagers,German Pilsener,1228,200
551,Pale Ales,American Amber / Red Ale,2120,395
552,India Pale Ales,American IPA,914,475
553,Porters,American Porter,448,305
554,Porters,American Porter,448,305
555,Bocks,Doppelbock,339,126
556,Bocks,Bock,339,84
557,Strong Ales,Belgian Strong Pale Ale,947,147
558,Pale Ales,American Blonde Ale,2120,174
559,Pale Ales,American Amber / Red Ale,2120,395
560,Dark Lagers,American Amber / Red Lager,476,62
561,Pale Ales,American Blonde Ale,2120,174
562,Specialty Beers,Fruit / Vegetable Beer,684,242
563,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
564,Pale Ales,Saison / Farmhouse Ale,2120,249
565,Strong Ales,Tripel,947,123
566,Pale Ales,Belgian Pale Ale,2120,167
567,Strong Ales,Belgian Strong Pale Ale,947,147
568,Dark Lagers,Munich Dunkel Lager,476,81
569,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
570,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
571,Bocks,Doppelbock,339,126
572,Pilseners and Pale Lagers,Light Lager,1228,108
573,Dark Lagers,Märzen / Oktoberfest,476,149
574,Wheat Beers,Hefeweizen,685,206
575,Dark Lagers,Vienna Lager,476,50
576,Pale Ales,English Pale Ale,2120,185
577,Strong Ales,Old Ale,947,59
578,Pale Ales,American Amber / Red Ale,2120,395
579,Pale Ales,American Amber / Red Ale,2120,395
580,Pale Ales,English Pale Ale,2120,185
581,Specialty Beers,Herbed / Spiced Beer,684,95
582,Pale Ales,Saison / Farmhouse Ale,2120,249
583,Brown Ales,English Brown Ale,416,146
584,Dark Ales,Belgian Dark Ale,390,43
585,Dark Lagers,Vienna Lager,476,50
586,Specialty Beers,Fruit / Vegetable Beer,684,242
587,Specialty Beers,Fruit / Vegetable Beer,684,242
